t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
51.69137001,-1.07,1.55,9.74,9.25,26.69,-10.94,14.56,-10.25,-34.88,-0.56,0,-0.09,-0.82,
52.01749825,-1.18,1.75,9.01,0.88,-24.56,-0.81,17.19,-11.06,-33.69,-0.57,0,-0.11,-0.81,
52.34362745,-0.14,1.46,9.45,-10.31,-1.88,-6.44,13.5,-10.25,-36.06,-0.58,-0.04,-0.06,-0.81,
52.66875601,-1.06,0.78,9.58,-9.06,25.31,-11.19,16.06,-7.75,-35.56,-0.6,0.02,-0.07,-0.79,
52.99429107,-1.15,0.79,9.68,11.38,-31.19,-1.44,18.56,-5.5,-34.06,-0.62,0.01,-0.07,-0.78,
53.31911898,0.11,1.54,9.21,10.5,5.5,-8.25,12.56,-8.5,-36.75,-0.63,-0.05,-0.06,-0.77,
53.64514589,-1.72,1.62,9.23,-3.56,22.19,-11.31,18.56,-8.88,-34.38,-0.65,0,-0.11,-0.75,
53.97036982,-0.62,1.37,9.58,-4,-41.25,-0.81,18.56,-7,-36,-0.66,-0.02,-0.07,-0.75,
54.29748154,-0.03,1.09,9.39,-7.44,26.69,-10.19,14,-6.56,-36.69,-0.67,-0.03,-0.04,-0.74,
54.62153506,-1.72,0.73,9.65,4.94,-2.44,-6.19,20,-4.38,-35.06,-0.69,0.03,-0.09,-0.72,
54.94866061,-0.15,1.41,9.27,11.44,-27.56,-2.94,15.5,-5.56,-37.06,-0.7,-0.05,-0.05,-0.71,
55.27315855,-0.6,1.66,9.38,-2.94,33.75,-13.75,15.25,-6.25,-38.56,-0.71,-0.04,-0.08,-0.7,
55.59892249,-1.61,1.25,9.36,-5.44,-16.25,-5.31,20.25,-4,-36.25,-0.73,0.01,-0.1,-0.67,
55.92504954,-0.06,1.08,9.56,-0.94,-15.44,-5.06,16.19,-2.88,-37.88,-0.74,-0.04,-0.04,-0.67,
56.25117683,-0.89,1.05,9.45,2,20.44,-9.94,17.69,-1.19,-37,-0.76,-0.02,-0.06,-0.65,
56.57631063,-1.2,1.29,9.42,6.13,-11.25,-4.31,19.19,-1.5,-35.75,-0.77,-0.02,-0.08,-0.63,
56.90167904,-0.29,1.42,9.5,1.5,-3.13,-5.88,17.25,-1.38,-38.56,-0.78,-0.05,-0.06,-0.62,
57.22690248,-1.07,1.46,9.42,-4.81,13.88,-9.44,18.06,-1.75,-38.88,-0.79,-0.02,-0.08,-0.6,
57.55269694,-0.99,0.97,9.46,-2.44,-19.81,-3.19,19.19,0.38,-37.69,-0.8,-0.02,-0.07,-0.59,
57.87783074,-0.14,1.25,9.4,3.13,0.69,-5.81,15.88,0.38,-40.06,-0.81,-0.04,-0.04,-0.58,
58.20431042,-1.1,1.13,9.4,4.06,16.63,-7.94,18.75,0.75,-38.38,-0.82,-0.02,-0.08,-0.56,
58.52926588,-0.97,1.66,9.74,0.38,-16.19,-1.69,19.56,0,-38.19,-0.83,-0.03,-0.09,-0.55,
